Артикулы с дубликатами и даты первого появления (от ранней к поздней):

Артикул: 1403762, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.146724
Артикул: 1403753, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.146801
Артикул: 1430426, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.146878
Артикул: 1403726, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.146954
Артикул: 1403747, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.147031
Артикул: 48143, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.147107
Артикул: 1403700, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.147184
Артикул: 1403744, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.147260
Артикул: 1403750, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.147336
Артикул: 1430437, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.147412
Артикул: 293878, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.147489
Артикул: 1430427, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.147573
Артикул: 1403765, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.147649
Артикул: 1430441, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.147726
Артикул: 1403735, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.147802
Артикул: 1430431, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.147878
Артикул: 1403723, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.147954
Артикул: 1430429, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.148030
Артикул: 1403697, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.148107
Артикул: 1430438, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.148183
Артикул: 1430440, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.148259
Артикул: 52173, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.148336
Артикул: 52875, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.148412
Артикул: 52874, Кол-во с пробелами: 1, С даты: 2025-07-29 16:59:51.148489
Артикул: 232473, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.264614
Артикул: 232535, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.264713
Артикул: 831947, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.264790
Артикул: 959376, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.264865
Артикул: 831956, Кол-во с пробелами: 1, С даты: 2025-07-29 17:00:31.264939
